#,Date-Time (MDT),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,06/19/2023 14:42:10,,Logged,,
2,06/19/2023 14:42:17,27.63,,,
3,06/19/2023 14:43:19,,,Logged,
4,06/19/2023 14:45:17,27.28,,,
5,06/19/2023 14:48:17,27.28,,,
6,06/19/2023 14:51:17,27.54,,,
7,06/19/2023 14:54:17,27.54,,,
8,06/19/2023 14:57:17,27.32,,,
9,06/19/2023 15:00:17,27.80,,,
10,06/19/2023 15:03:17,28.31,,,
11,06/19/2023 15:06:17,27.71,,,
12,06/19/2023 15:09:17,28.44,,,
13,06/19/2023 15:12:17,27.97,,,
14,06/19/2023 15:15:17,28.18,,,
15,06/19/2023 15:18:17,28.31,,,
16,06/19/2023 15:21:17,28.35,,,
17,06/19/2023 15:24:17,27.58,,,
18,06/19/2023 15:27:17,28.31,,,
19,06/19/2023 15:30:17,28.65,,,
20,06/19/2023 15:33:17,28.48,,,
21,06/19/2023 15:36:17,28.57,,,
22,06/19/2023 15:39:17,28.35,,,
23,06/19/2023 15:42:17,28.53,,,
24,06/19/2023 15:45:17,28.65,,,
25,06/19/2023 15:48:17,28.70,,,
26,06/19/2023 15:51:17,29.08,,,
27,06/19/2023 15:54:17,28.83,,,
28,06/19/2023 15:57:17,28.65,,,
29,06/19/2023 16:00:17,28.65,,,
30,06/19/2023 16:03:17,28.65,,,
31,06/19/2023 16:06:17,28.10,,,
32,06/19/2023 16:09:17,28.05,,,
33,06/19/2023 16:12:17,28.27,,,
34,06/19/2023 16:15:17,28.65,,,
35,06/19/2023 16:18:17,27.84,,,
36,06/19/2023 16:21:17,27.88,,,
37,06/19/2023 16:24:17,27.63,,,
38,06/19/2023 16:27:17,27.97,,,
39,06/19/2023 16:30:17,28.27,,,
40,06/19/2023 16:33:17,28.44,,,
41,06/19/2023 16:36:17,28.40,,,
42,06/19/2023 16:39:17,28.40,,,
43,06/19/2023 16:42:17,28.74,,,
44,06/19/2023 16:45:17,28.01,,,
45,06/19/2023 16:48:17,28.40,,,
46,06/19/2023 16:51:17,28.14,,,
47,06/19/2023 16:54:17,28.23,,,
48,06/19/2023 16:57:17,28.78,,,
49,06/19/2023 17:00:17,28.35,,,
50,06/19/2023 17:03:17,28.05,,,
51,06/19/2023 17:06:17,27.97,,,
52,06/19/2023 17:09:17,27.71,,,
53,06/19/2023 17:12:17,27.97,,,
54,06/19/2023 17:15:17,28.10,,,
55,06/19/2023 17:18:17,27.88,,,
56,06/19/2023 17:21:17,27.67,,,
57,06/19/2023 17:24:17,27.93,,,
58,06/19/2023 17:27:17,27.88,,,
59,06/19/2023 17:30:17,27.88,,,
