#,Date-Time (MDT),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,07/11/2023 15:37:06,,Logged,,
2,07/11/2023 15:37:13,25.01,,,
3,07/11/2023 15:37:46,,,Logged,
4,07/11/2023 15:40:13,24.24,,,
5,07/11/2023 15:43:13,23.76,,,
6,07/11/2023 15:46:13,24.79,,,
7,07/11/2023 15:49:10,,,Logged,
8,07/11/2023 15:49:13,23.12,,,
9,07/11/2023 15:52:13,23.64,,,
10,07/11/2023 15:55:13,24.02,,,
11,07/11/2023 15:58:13,25.65,,,
12,07/11/2023 16:01:13,24.06,,,
13,07/11/2023 16:04:13,25.74,,,
14,07/11/2023 16:07:13,24.62,,,
15,07/11/2023 16:10:13,25.61,,,
16,07/11/2023 16:13:13,24.41,,,
17,07/11/2023 16:16:13,23.55,,,
18,07/11/2023 16:19:13,25.01,,,
19,07/11/2023 16:22:13,25.69,,,
20,07/11/2023 16:25:13,25.57,,,
21,07/11/2023 16:28:13,25.27,,,
22,07/11/2023 16:31:13,25.82,,,
23,07/11/2023 16:34:13,25.74,,,
24,07/11/2023 16:37:13,25.27,,,
25,07/11/2023 16:40:13,24.92,,,
26,07/11/2023 16:43:13,26.12,,,
27,07/11/2023 16:46:13,25.14,,,
28,07/11/2023 16:49:13,25.01,,,
29,07/11/2023 16:52:13,25.74,,,
30,07/11/2023 16:55:13,25.74,,,
31,07/11/2023 16:58:13,25.95,,,
32,07/11/2023 17:01:13,26.04,,,
33,07/11/2023 17:04:13,26.08,,,
34,07/11/2023 17:07:13,25.44,,,
35,07/11/2023 17:10:13,25.27,,,
36,07/11/2023 17:13:13,25.91,,,
37,07/11/2023 17:16:13,25.99,,,
38,07/11/2023 17:19:13,25.74,,,
39,07/11/2023 17:22:13,25.69,,,
40,07/11/2023 17:25:13,25.74,,,
41,07/11/2023 17:28:13,25.87,,,
42,07/11/2023 17:31:13,25.61,,,
43,07/11/2023 17:34:13,25.57,,,
44,07/11/2023 17:37:13,25.39,,,
45,07/11/2023 17:40:13,25.35,,,
